Model,MAE,MSE,RMSE,R2
SVR,1.2651282398194537,2.6340935118864635,1.6229890670877802,0.4597742980226147
Random Forest Regressor,1.2420385811505477,2.684658417796339,1.6384927274163712,0.4494039517659931
Gradient Boosting Regressor,1.312545208519727,2.729408684311819,1.6520922142277104,0.4402261287187442
Linear Regression,1.4492333138824396,3.281982855202679,1.8116243692340526,0.32689880453035636
Decision Tree Regressor,1.5351178417591511,4.403121257268772,2.09836156495223,0.09696475794588366
